ZipCode,Count
99501,1
36527,1
36066,1
35094,1
72210,1
85201,1
91739,1
95337,1
80238,1
80921,1
33619,1
32317,1
34953,1
32905,1
32819,1
33172,1
33036,1
33913,1
32541,1
33004,1
31419,1
31210,1
30043,1
51501,1
50009,1
60031,1
61611,1
60440,1
46368,1
47129,1
66061,1
70726,1
71111,1
2035,1
21076,1
48326,1
63301,1
65807,2
64055,1
65202,1
65616,1
39208,1
28027,1
27513,1
3106,1
8401,1
89139,1
13502,1
13021,1
43460,1
45240,1
73104,1
74012,1
17111,1
29572,1
37214,1
38105,1
38134,1
37764,1
37621,1
78257,1
78665,1
77047,1
77494,1
78552,1
76051,1
75043,1
23666,1
23005,1
98408,1
